Target	UniProt ID	Design option	Design fit	MoA summary	Expected differentiation	Main safety risk	Main developability risk	Kill criteria	Design priority
CD40 ligand / TNFSF5	P29965	Fc-enhanced antibody	Low	Deplete CD40L-positive cells.	Weak; safety likely unacceptable.	Platelet/T-cell toxicity and thrombosis.	Effector function conflicts with safety.	Any platelet or coagulation risk.	Low
CD40 ligand / TNFSF5	P29965	Bispecific antibody	Medium	Block CD40L plus second immune pathway.	Cell/pathway-selective costimulation control.	Cell bridging, immune suppression, thrombosis.	CMC and valency design.	Unavoidable cell bridging or platelet activation.	Medium-Low
CD40 ligand / TNFSF5	P29965	ADC	Low	Deliver payload to CD40L-positive cells.	None for autoimmune disease.	Activated T-cell/platelet toxicity.	ADC selectivity not plausible.	Normal immune/platelet toxicity.	Low
CD40 ligand / TNFSF5	P29965	Masked antibody	Medium	Activate CD40L blocker preferentially in inflamed tissue.	Reduce systemic CD40L/platelet risk.	Incomplete masking or circulating activation.	Mask stability and cleavage.	Blood activation or no tissue activation.	Medium-Low
CD40 ligand / TNFSF5	P29965	pH-dependent recycling antibody	Medium-Low	Use pH-dependent CD40L binding for antigen-sink/PK benefit.	Dosing convenience versus competitors.	Persistent immune suppression.	pH binding without losing neutralization.	No safety or PK/PD advantage.	Low
IL-36 receptor / IL1RL2	Q9HB29	Blocking antibody	High	Block IL-36R signaling from IL-36 cytokines.	Different axis from TNF/IL-17 in IL-36-high skin disease.	Infection, barrier response impairment.	Complete blockade of multiple IL-36 ligands.	No lesional tissue response in IL-36-high samples.	High
IL-36 receptor / IL1RL2	Q9HB29	Agonistic antibody	Low	Stimulate IL-36R.	None for inflammatory disease.	Inflammation and skin disease worsening.	Agonism control.	Inflammatory cytokine induction.	Low
IL-36 receptor / IL1RL2	Q9HB29	Fc-silent antibody	High	Block receptor without effector function.	Safer chronic skin-disease blockade.	Residual infection risk, insufficient efficacy.	Fc silence and potency.	Loss of potency or exposure.	High
IL-36 receptor / IL1RL2	Q9HB29	Fc-enhanced antibody	Low	Deplete IL-36R-expressing cells.	Weak; likely unnecessary.	Normal epithelial/immune cell toxicity.	On-target tissue toxicity.	Normal skin cell killing.	Low
IL-36 receptor / IL1RL2	Q9HB29	Bispecific antibody	Medium	Block IL-36R plus another inflammatory axis.	Deeper control in HS nonresponders.	Infection and excess immune suppression.	CMC and dose optimization.	No benefit over combination or monospecific therapy.	Medium
IL-36 receptor / IL1RL2	Q9HB29	ADC	Low	Deliver payload to IL-36R-positive cells.	None for autoimmune use.	Skin/epithelial toxicity.	ADC payload toxicity.	Normal skin toxicity.	Low
IL-36 receptor / IL1RL2	Q9HB29	Masked antibody	Medium	Activate receptor blocker in inflamed skin.	Safety differentiation in chronic HS.	Activation outside lesion or underactivation.	Protease-dependent activation.	No lesion-selective activation.	Medium-Low
IL-36 receptor / IL1RL2	Q9HB29	pH-dependent recycling antibody	Medium	Improve receptor occupancy/PK through pH-dependent binding.	Dosing convenience.	Long-term IL-36 blockade.	pH-dependent binding with blockade.	No PK/PD advantage.	Medium-Low
OSM receptor / OSMR	Q99650	Blocking antibody	High	Block OSMR-mediated inflammatory and remodeling signals.	Targets stromal remodeling rather than classic cytokine axes.	Wound healing and epithelial repair impairment.	Receptor complex biology and ligand selectivity.	No OSMR-dependent response in human tissue.	High
OSM receptor / OSMR	Q99650	Agonistic antibody	Low	Stimulate OSMR signaling.	None for autoimmune/fibrotic disease.	Inflammation, fibrosis, itch worsening.	Agonism control.	Inflammatory/fibrotic marker induction.	Low
OSM receptor / OSMR	Q99650	Fc-silent antibody	High	Block OSMR without killing OSMR-expressing cells.	Safer stromal/epithelial functional modulation.	Repair impairment, effect insufficiency.	Fc silence and receptor-blocking potency.	Cell toxicity or inadequate blockade.	High
OSM receptor / OSMR	Q99650	Fc-enhanced antibody	Low	Deplete OSMR-expressing cells.	Possible pathologic fibroblast depletion, but risky.	Normal fibroblast/epithelial toxicity.	Broad target expression and tissue toxicity.	Normal tissue cell killing.	Low
OSM receptor / OSMR	Q99650	Bispecific antibody	Medium	Block OSMR plus itch/inflammation/fibrosis pathway.	Combined remodeling plus inflammation/itch control.	Repair impairment and immune suppression.	CMC and target-pair validation.	No superiority over monospecific or combination.	Medium
OSM receptor / OSMR	Q99650	ADC	Low	Deliver payload to OSMR-positive cells.	Weak for chronic autoimmune disease.	Normal tissue toxicity and impaired repair.	Internalization and payload selectivity.	Normal fibroblast/epithelial toxicity.	Low
OSM receptor / OSMR	Q99650	Masked antibody	Medium	Activate OSMR blocker in inflamed/fibrotic tissue.	Reduce systemic tissue-repair risk.	Activation uncertainty.	Mask cleavage and potency recovery.	No disease-tissue-selective activation.	Medium-Low
OSM receptor / OSMR	Q99650	pH-dependent recycling antibody	Medium	Improve exposure/receptor occupancy through pH binding.	Dosing convenience versus receptor competitors.	Prolonged repair pathway blockade.	pH binding and internalization behavior.	No PK/PD advantage.	Medium-Low
CCL24 / eotaxin-2	O00175	Blocking antibody	High	Neutralize CCL24 and reduce CCR3-mediated chemotaxis/fibrotic inflammation.	Less crowded chemokine-fibrosis axis.	Eosinophil/host defense effects.	Chemokine redundancy and antigen sink.	No effect in CCL24-high human tissue.	High
CCL24 / eotaxin-2	O00175	Agonistic antibody	Low	Enhance CCL24 activity.	None for autoimmune/fibrotic disease.	Eosinophilic inflammation/fibrosis worsening.	Not rational.	Enhanced chemotaxis or inflammation.	Low
CCL24 / eotaxin-2	O00175	Fc-silent antibody	Medium	Neutralize CCL24 without Fc effector activity.	Conservative safety design.	Insufficient potency or durability.	Fc silence and half-life.	No benefit versus standard IgG.	Medium-Low
CCL24 / eotaxin-2	O00175	Fc-enhanced antibody	Low	Add Fc effector activity to a soluble chemokine target.	None.	Immune complex/Fc activation.	Target is soluble, not cell-bound.	Fc-dependent inflammation.	Low
CCL24 / eotaxin-2	O00175	Bispecific antibody	Medium	Neutralize CCL24 plus redundant chemokine or fibrotic mediator.	Overcome chemokine redundancy.	Broad eosinophil suppression and infection risk.	CMC, fixed dose ratio, viscosity.	No advantage over CCL24 alone or unacceptable broad suppression.	Medium
CCL24 / eotaxin-2	O00175	ADC	Low	Payload delivery through CCL24 biology.	None; soluble target unsuitable.	Systemic ADC toxicity.	No target-cell selectivity.	No selective internalization.	Low
CCL24 / eotaxin-2	O00175	Masked antibody	Medium-Low	Activate CCL24 neutralization in fibrotic/inflamed tissue.	Reduce systemic chemokine blockade.	Insufficient local activation.	Masking a soluble-ligand antibody is complex.	No local neutralization advantage.	Low
CCL24 / eotaxin-2	O00175	pH-dependent recycling antibody	High	Use pH-dependent CCL24 binding to improve antibody reuse/antigen clearance.	Dose/PK differentiation versus conventional neutralizing antibody.	Excess durable chemokine suppression.	pH binding while preserving neutralization.	No PK/PD advantage over standard neutralizing IgG.	High
