Protein name	UniProt ID	Location class	Disease relationship	Existing drugs / clinical agents	Antibody MoA	Safety concerns	Differentiation hypothesis	Recommendation
IFNAR1	P17181	Membrane type I interferon receptor chain	Type I IFN signature in SLE, dermatomyositis, Sjogren subsets and interferonopathies.	Anifrolumab approved for SLE; studied in related autoimmune diseases.	Block type I IFN receptor signaling.	Viral infections, herpes zoster, possible impaired antiviral immunity.	Biomarker-high disease selection is attractive; target is validated but SLE differentiation is crowded.	Medium
BDCA2 / CD303 / CLEC4C	Q8WTT0	Membrane C-type lectin on plasmacytoid dendritic cells	pDC-derived type I IFN in SLE, cutaneous lupus, dermatomyositis/Sjogren-like IFN-high diseases.	Lit-ifilimab/BIIB059 anti-BDCA2 in clinical development for lupus/cutaneous lupus.	pDC modulation and reduction of type I IFN production, potentially via receptor engagement/internalization.	Infection/antiviral immunity, pDC biology uncertainty, injection reactions.	Cell-selective IFN pathway modulation may be safer/narrower than IFNAR blockade in IFN-high cutaneous/systemic disease.	Medium
IL-36 receptor / IL1RL2	Q9HB29	Membrane cytokine receptor	Neutrophilic and epithelial inflammatory skin disease; potential HS, pustular psoriasis, autoimmune blistering/inflammatory skin subsets.	Spesolimab anti-IL-36R approved for generalized pustular psoriasis flares; other IL-36R blockers in development.	Block IL-36 cytokine signaling and epithelial-neutrophil inflammation.	Infections, unknown long-term immune effects, disease selection risk outside pustular psoriasis.	Differentiation opportunity in HS or neutrophilic autoimmune skin subsets if biomarker-high IL-36 signature is used.	High
OSM receptor / OSMR	Q99650	Membrane cytokine receptor	Skin inflammation, itch, fibrosis and tissue remodeling; possible HS, prurigo, atopic/type 2 overlap, systemic sclerosis fibrosis hypothesis.	Vixarelimab anti-OSMR in clinical development for prurigo nodularis/atopic dermatitis; autoimmune use less established.	Block OSM/IL-31-family receptor signaling depending epitope; reduce inflammation, itch, tissue remodeling.	Infection unknown, epithelial repair/wound healing effects, receptor biology complexity.	Could target chronic inflammatory remodeling rather than only upstream cytokines, useful where scarring/fibrosis drives residual disease.	High
Oncostatin M / OSM	P13725	Secreted cytokine	IL-6 family cytokine linked to chronic inflammation, stromal activation, fibrosis, IBD/skin inflammatory signatures.	Anti-OSM agents have been clinically explored; no major autoimmune approval confirmed.	Neutralize OSM ligand to reduce stromal/fibrotic inflammatory signaling.	Tissue repair effects, infection/inflammation balance, incomplete pathway blockade through receptor redundancy.	Ligand blockade may be cleaner than receptor blockade if OSM-specific signature predicts response.	Medium
CCL24 / eotaxin-2	O00175	Secreted chemokine	Eosinophil/CCR3 chemokine; implicated in fibrosis/inflammation including systemic sclerosis and liver/fibrotic disease hypotheses.	CM-101/anti-CCL24 reported in clinical development for fibrotic/inflammatory diseases.	Neutralize CCL24 to reduce eosinophil/myeloid recruitment and fibrotic signaling.	Host defense/allergic biology, uncertain causal role, biomarker selection unclear.	Relatively less crowded; could differentiate in fibrotic autoimmune subsets where CCL24 is elevated.	High
IL-15 receptor alpha / IL15RA	Q13261	Membrane receptor and soluble forms	Celiac disease, refractory celiac disease, alopecia/skin autoimmunity and lymphocyte activation biology.	No approved IL-15RA antibody in autoimmune disease confirmed; IL-15 pathway agents have been clinically tested.	Block IL-15 trans-presentation to pathogenic cytotoxic/T/NK cells.	Infection, NK/T-cell suppression, malignancy surveillance concerns.	Strong mechanistic fit in refractory celiac or tissue-resident cytotoxic lymphocyte disease if local biomarkers enrich patients.	Medium
IL-15	P40933	Secreted cytokine, often presented by IL15RA	Tissue-resident cytotoxic lymphocyte activation in celiac disease, inflammatory skin/muscle autoimmunity hypotheses.	AMG 714/anti-IL-15 tested in celiac and other inflammatory settings; no broad autoimmune approval confirmed.	Neutralize IL-15 to suppress pathogenic cytotoxic lymphocyte activation.	Infection, NK/T-cell suppression, uncertain efficacy history.	Patient selection and local tissue pharmacodynamics would be needed to revive the pathway.	Low-Medium
Complement C5	P01031	Secreted complement protein cleaved to C5a/C5b	AAV, dermatomyositis/complement-mediated injury, NMOSD, autoimmune blistering, thrombotic microangiopathy-like disease.	Eculizumab/ravulizumab approved in complement diseases; vilobelimab anti-C5a authorized/approved in specific inflammatory contexts.	Block C5 cleavage or neutralize C5a to reduce terminal complement and/or neutrophil activation.	Meningococcal and encapsulated bacterial infection, vaccination/prophylaxis burden, high cost.	Validated but crowded; disease-specific C5a-sparing or tissue-targeted complement inhibition could differentiate.	Medium
IL-4 receptor alpha / IL4R	P24394	Membrane receptor chain for IL-4/IL-13	Type 2 inflammation in atopic dermatitis, bullous pemphigoid, prurigo, eosinophilic autoimmune-like skin disease.	Dupilumab approved across type 2 diseases; investigated/used in bullous pemphigoid contexts.	Block IL-4/IL-13 signaling to reduce type 2 inflammation, itch, eosinophilic tissue responses.	Conjunctivitis, eosinophilia, helminth immunity concerns, target crowding.	Useful comparator; new antibody would need BP-specific positioning or differentiated pathway breadth.	Low
